sentence1,sentence2,label
На прямой линии Путин побеседовал с русским фермером Джоном о надоях,"Баня, Кудрин и фермер Джон: самые яркие моменты «Прямой линии» с Путиным",0
"Элейнор Элкинс Уилсон вышла замуж за Элайнор Элкинс Райс, когда в октябре 1915 года стала профессором и хирургом Гарварда.","Elkins Wideman женился на Элеанор Elkins Rice, когда она стала профессором Гарварда и хирургом в октябре 1915 года.",0
В Египте на месяц ввели чрезвычайное положение.,В Египте ввели чрезвычайное положение.,1
Умер кудесник Вудстока – британский гитарист Элвин Ли.,Скончался гитарист Элвин Ли.,1
"В 1922 году Иннискилнингз переехали из Индии в Ирак и вернулись в Шаклиф, Англия, в 1925 году.","Иннискиллинги переехали из Индии в Шиклиф в Англии в 1922 году, а затем вернулись в Ирак в 1925.",0
"Байнум, родившийся в 1975 году в Бостоне, вырос в Балтиморе.","Байнум, родившийся в 1975 году в Балтиморе, вырос в Бостоне.",0
"В 1378 году, после смерти Иоанна II, Иоанн III унаследовал большую часть этих владений.","Когда Иоанн II умер в 1378 году, Иоанн III унаследовал большинство из этих владения.",1
Президент Уругвая запустил свободную продажу марихуаны.,Президент Уругвая подписал закон о легализации марихуаны.,1
Из-за пожара в Технологическом институте обрушилась крыша.,Пожар в Санкт-Петербургском технологическом институте потушили.,0
"Умер бывший солист ""А'Студио"" Батырхан Шукенов",Бывшего солиста «А'Студио» Батырхана Шукенова похоронят в Казахстане,0
В Эритрее произошла попытка государственного переворота.,В Эритрее произошла попытка военного переворота.,1
Единороссы вернут студентам бесплатные музеи.,«Единая Россия» вернет студентам бесплатный допуск в музеи.,1
Глава отделения Huawei в СНГ: Россия стала для меня первым шагом в мир.,Центральные отпадающие - Российский футбол: недействующая модель.,0
"В Саутэнде (2016 год), Боу (2017 год) и Саутгемптоне (2017 год) запланированы новые выставки.","Новая экспозиция планируется в Саутэнде (2016), Боу (2017) и Саутгемптоне (2017).",1
Сирия не пустила экспертов ООН по химическому оружию.,Сирия отказалась впустить комиссию ООН по химическому оружию.,1
Макфола срочно вызвали в российский МИД.,«Вопрос: где наши деньги?» - Владимир Путин выступил на Петербургском международном экономическом форуме.,0
"Новые здания были не такими непритязательными, как раньше, и выглядели вполне монументально и красиво.","Новые здания были не так уж несмывчивы как прежде, и выглядели совершенно монументально и потированно.",0
Совбез России предложил ограничить хождение иностранной валюты,Песков назвал отдельным мнением идею ограничить хождение валюты в России,0
"Right On Brother - четвертый альбом гитариста Boogaloo Джо Джонса, записанный в 1970 году и выпущенный на лейбле Pret.","Right On Brother - четвертый альбом гитариста Boogaloo Джо Джонса, записанный на лейбле Presto в 1970 году.",0
"Выборы 1945 года в австралийском штате Виктория состоялись в субботу 10 ноября 1945 года, на них было избрано 65 членов законодательной ассамблеи штата.",Выборы в штате Виктроен в 1945 году прошли 10 ноября 1945 года в австралийском штате Виктория. Было избрано 65 членов законодательного собрания штата.,0
Работы по тушению пожара в Технологическом институте закончены.,Пожар в Санкт-Петербургском технологическом институте потушили.,1
"Он расположен примерно в 2 милях к юго-востоку от горы Уайт Кэп, в 2 милях к юго-югу от горы Бейкер, и в 5 милях к западу от озера Мусехед.","Он расположен к юго-востоку от озера Мусехед, в 2 милях к юго-западу от горы Бейкер и в 5 милях к западу от горы Уайт Кэп.",0
"На Чемпионате мира по лыжным видам спорта 2009 г. в Либерце Шерпа финишировала 127-й в индивидуальных спринтерских гонках, находясь в смешанной гонке преследования на 30 км.","На чемпионате мира по лыжным видам спорта 2009 года в Либерце Шерпа финишировала 127-й в смешанном спринте, пропустив вперед себя в индивидуальной гонке преследования на 30 км.",0
Он выступал с лекциями и докладами на конференции Ассоциации колледжей искусств в Торонто (2007) и на Конференции тонких технологий в Нью-Йорке (2002).,Он выступил с работами и на Конференции Колледжа Арт Ассоциации в Торонто (2007) и на Конференции Тонких Технологий в Нью-Йорке (2002).,1
"Мои родители нечувствительны к другим людям с психическими расстройствами, но сочувствуют и помогают мне. Мог бы кто-нибудь помочь мне понять, почему?","Мои родители сочувствуют и помогают другим людям с психическими расстройствами, но нечувствительны к моим. Мог бы кто-нибудь помочь мне понять, почему?",0
"У меня есть метод Java, содержащий некоторые математические уравнения, я не могу понять, что он делает, как лучше всего определить, какие шаги делают математики?","У меня есть метод Java, содержащий некоторые математические уравнения, я не могу понять, что это такое, какой лучший способ вычислить, какие шаги делать?",0
"Чемпионат Мира 1981-1982 годов начался 9 января 1982 года в Райме Винкле, Кируна, Швеция, а завершился в Германии 13 апреля 1982 года.","Чемпионат мира начался в Райме Винкле 9 января 1982 года и завершился 13 апреля 1982 года в Кируне, Швеция.",0
"Мало того, что были разрушены здания, но и все изображения с них практически исчезли.","Постройки не только были снесены, но и практически все их изображения исчезли.",1
После шоу в Петербурге власти посчитали Мадонну нелегальным гастарбайтером.,Концерт Мадонны в Петербурге признали нелегальным.,0
"Самая крупная секция - конец 19-го и начало 20 века, в нее входят дома в стиле неоклассицизма, Второй империи, эпохи возрождения Виктории, а также Дома искусства и архитектуры в стиле модерн.","Самый большой раздел относится к концу XIX - началу XX века и включает викторианскую эпоху, Вторую империю, неоклассическое возрождение и дома в стиле искусства и модерна.",0
"Со временем, Элктон стала американской новой Gretna Green, хотя в Лас-Вегасе сотнями людей по-прежнему женятся каждый год.","Со временем Лас-Вегас стал новой американской Gretna Green, хотя сотни людей по-прежнему женятся в Элктоне каждый год.",0
Какие основные автомагистрали в Пенсильвании и как их сравнить с основными магистралями в Калифорнии?,Какие основные автомагистрали в Калифорнии и как их сравнить с основными магистралями в Пенсильвании?,0
В Санкт-Петербурге горит Технологический институт.,В Санкт-Петербурге загорелся Технологический институт.,1
Охлобыстин: слухи о моей смерти сильно преувеличены,Иван Охлобыстин: Слухи о моей смерти сильно преувеличены,1
Путеводитель по британским выборам,Exit poll: консерваторы лидируют на выборах в британский парламент,0
Минфин: Закон о налоге на недвижимость физических лиц готов.,Лекарство от убытков.,0
"Анри Доблер родился в 1863 году в Швейцарии, его родители продавали шелк и текстиль в Милле.",Анри Доблер родился в 1863 году в Швейцарии. Его родители продавали шелк и текстиль в Марселе.,0
"Почему мужчина, которого ты любишь, ненавидит тебя и хочет, чтобы ты ушел от него?","Почему любимый мужчина бросит тебя и захочет, чтобы ты его ненавидела?",0
"Профессионально дебютировал в Российской футбольной премьер-лиге за курский ФК ""Авангард"" 11 сентября 2014 года в матче против ФК ""Чертаново"" Москва.","Дебютировал на профессиональной арене в Российской футбольной премьер-лиге за московский ФК ""Чертаново"" 11 сентября 2014 года в игре против курского БК ""Авангард"".",0
Болгарский митрополит не нашел покупателя для своих часов Rolex.,Болгарский митрополит не смог продать свои часы Rolex.,1
"Почему это 20 век, а не 21 век?","Почему это 21 век, а не 20 век?",0
Тексты песен Гилберта не имеют ничего общего с оригинальными текстами Лары на испанском языке.,Тексты Лары не имеют ничего общего с оригинальными текстами Гильберта на испанском языке.,0
Клара Луиза Белл (известная как Clara Louise Janowsky) (1886 - 1978) - американская художница-миниатюристка.,Клара Луиза Яновски (1886 - 1978) (также известная как Clara Louise Bell) - американская художница в миниатюре.,1
Соперники Назарбаева проголосовали на выборах президента Казахстана,Эксит-поллы показали абсолютное лидерство Назарбаева на выборах в Казахстане,0
"""Ночные волки"": байкер задержан в ФРГ за ""несоответствие цели визита""",Задержанного в Германии байкера «Ночных волков» отпустили,0
"Землетрясение магнитудой 4,8 произошло у побережья Португалии","У берегов Португалии произошло землетрясение магнитудой 4,8",1
В США Джохара Царнаева перевели из больницы в тюрьму.,Джохара Царнаева перевели из больницы в тюрьму.,1
"В 1950 году Смолл выпустил пакет из 26 фильмов, которые продал для показа на американском телевидении посредством своей Peerless Television Productions.","В 1950 году Смолл продал пакет из 26 фильмов, производимых им для показа на американском телевидении через фирму Peerless Television Productions.",1
Белый бриллиант весом в 100 карат выставят на торги в Нью-Йорке,Белый бриллиант в 100 карат продан на аукционе за 22 миллиона долларов,0
"РПЦ предлагает ввести в школах предмет ""смысл жизни"".",РПЦ предложила ввести в школах предмет «Смысл жизни».,1
"Согласно переписи 2000 года, 22,0% были немецкими, 20,5% ирландцами, 16,4% итальянскими, 8,9% польскими и 7,8% английскими по происхождению.","22,0% были немцами по переписи 2000 года, 20,5% ирландцами, 16,4% поляками, 8,9% итальянцами и 7,8% англичанами по происхождению.",0
Греф: Сбербанк серьезно изменит структуру для сокращения затрат,Греф пообещал изменить всю систему управления Сбербанком,0
"Это означает, что гомотопическая эквивалентность между М, W и N представляет собой гомотопию C-изоморфизма.","Это означает, что гомотопная эквивалентность M, W и N - гомотопи C-изоморфизму.",1
СМИ: Росфинмониторинг вводит банковские санкции против Запада,Росфинмониторинг опроверг введение «банковских санкций» против 41 страны,0
"Расовая принадлежность населения КДП была 98,9% белой, 0.1% азиатской, 0.2% - нативной американской и 0.8% - представителями двух или более рас.","Расовый состав ХДП составлял 98,9% белых, 0,1% азиатов, 0,2% коренных американцев и 0,8% двух или более рас.",0
У Джона остались дочь и его сын Аннабель и Ричард Огдон.,"У Ричарда Огдона остались его дочь и сын, Аннабель и Джон.",0
"По традиционным определению, несколько видов из Австралии, один из Африки, несколько из Азии и два из Южной Америки относятся к семейству.","Согласно традиционно принятому определению, несколько видов относятся к семейству из Южной Америки, один из Африки, несколько из Азии и два из Австралии.",0
Новые трамваи с низким полом и ГЛОНАССом появятся в Москве в июне.,В июне в Москве появятся новые трамваи с двумя уровнями пола.,0
"Ремни-мужские и женские: коричневые, синие, фиолетовые, белые, черные.","Пояса: белые, синие, фиолетовые, коричневые, черные, -мужские и женские.",0
"Будет ли ребенок мусульманки, вышедшей замуж за парня-христианина, принят ее родственниками как мусульманин?","Будет ли ребенок христианки, вышедшей замуж за мусульманского парня, принят ее родственниками как мусульманин?",0
"Суд арестовал фотографа, участвовавшего в акции на ""Приразломной"".",Суд в Мурманске перекрасят из-за активистов Greenpeace.,0
Консультации по Сирии начинаются в Женеве под эгидой ООН,Консультации по Сирии пройдут в Женеве под эгидой ООН,1
"Пожар на строительном рынке ""Мельница"" в Москве.",Площадь пожара на строительном рынке в Москве выросла вдвое.,0
"Железнодорожная станция Glen Waverley находится на линии Синдал в Виктории, Австралия.","Станция Glen Waverley находится на линии Syndal в Виктории, Австралия.",1
"Редеди, Редедиа, Кассоги или Ридада (умер в 1022 г.) - легендарный руководитель Редедиа, черкесского племени с Северного Кавказа.","Редеди, Редедия, Кассоги или Ридада (умер в 1022 году) были легендарным лидером Редедии, черкесского племени с Северного Кавказа.",1
У пары родились две дочери: Сара Линн (1942 года рождения) и Марта Анн (1943 года рождения).,"У пары были две дочери, Марта Энн (1942 года рождения) и Сара Линн (1949 года рождения).",0
В Грузии задержан бывший премьер-министр В.Мерабишвили.,В Грузии задержали экс-премьера Мерабишвили.,1
"Он умер в своем доме в Брайтоне 23 июля 1942 года, и похоронен в Пресвитерианской церкви и кладбище на Старой Брод-стрит в Трентоне.",Он умер 23 июля 1942 года в своем доме в Брайтоне и похоронен в пресвитерианской церкви Старому Броду-стрит и на кладбище в Тритоне.,1
"Чотиан (иногда называют Чотиа), это деревня в Манса техсила Сардулгархе - округе Пенджаба, в Индии Джунир - это окружающая деревня.","Чотиан (иногда пишется как Чотиа) - это деревня в Манса техсиле района Сардулгарх в Пенджабе, Индия. Джунир - это окружающая деревня.",1
СМИ назвали дату нового ядерного испытания КНДР.,В Сеуле опровергли подготовку КНДР к новому ядерному испытанию.,0
Убийцу главы МВД Дагестана посадили на 15 лет.,Убийца главы МВД Дагестана получил 15 лет.,1
"Фильм спродюсировал Стюарт Легг, а режиссером выступил Джон Тейлор.","Фильм спродюсировал и снял Джон Тэйлор, режиссер Стюарт Легг.",0
"Виды встречаются на юго-востоке Тасмании, в Виктории и северо-востоке Южной Австралии.","Вид обитает на юго-востоке Южной Австралии, в штате Виктория и на северо-востоке Тасмании.",0
Франция получила доказательства применения химоружия в Сирии.,Франция получила доказательства использования в Сирии химоружия.,1
Сезон-2002 Национальной Футбольной Лиги стал 27-м сезоном команды с Seattle Seahawks.,Сезон 2002 года в Национальной футбольной лиге был 27-м сезоном команды с командой Seattle Seahawks.,1
"Голова темно-коричневая, участки рта прозрачно-желтовато-коричневые, тело бледно-зеленое с широкими красными дорсальными и латеральными линиями.","Голова бледно-коричневая, рты темно-коричневые, тело прозрачно-желто-зеленое с широкими красными дорсальными и латеральными строками.",0
"Все занятия проходят в аудиториях и лабораториях университета, в санаторно-курортных учреждениях и на эпидемиологическо-профилактических станциях города и области.","Все занятия проходят в аудиториях и лабораториях университета, в лечебно-профилактических учреждениях и на санитарно-эпидемиологических станциях города и области.",1
"Олдус Хаксли ввел препарат Альфреду Мэтью Хаббарду в 1955 году, а Лили начал принимать его в 1962 году.","Олдус Хаксли ввел препарат Альфреду Мэттью Хаббарду в 1955 году, а Лори начал употреблять его в 1962 году.",0
"Сообщество находится в 33 милях к северо-востоку от Солон Спрингс, 42 милях к югу от города Сул и 14 милях к юго-востоку от Данбери.","Деревня расположена в 33 километрах к северо-востоку от Солон-Спрингс, в 42 милях к югу от города Суонси и в 14 миль к юго-западу от Данбери.",0
Топ-менеджер Google погиб в результате схода лавины на Эвересте ,На Эвересте от схода лавины погибли 65 альпинистов,0
Какая пища хороша для здорового ребенка во время беременности?,Какая пища хороша для здорового ребенка во время беременности?,1
Глава Air Asia призвал не строить предположений о пропавшем самолете.,Глава Air Asia призвал воздержаться от догадок о пропавшем самолете,1
"Могла бы Хилари победить, если бы Сандерс не украл у него выборы?","Мог ли Сандерс выиграть, если бы Хилари у него выборы не украла?",0
Дэвид Кэмерон согласился отложить военное нападение на Сирию.,Нападение на Сирию отложили по химическим причинам.,0
"Он был сыном Томаса Стивена Какера и члена семьи Какеров, потомка Томаса Коркера.","Он был сыном Томаса Коркера, и членом семьи Какер, потомками Томаса Стивена Кокера.",0
Расположена на востоке от Ардмора и юго-востоке от Оклахома-сити.,Это восточнее города Оклахома-Сити и юго-восточнее Ардмора.,0
Матчи восьмого тура были сыграны 19 - 20 января 2016 года. Жеребьевка третьего и четвертого тура состоялась 27 октября 2015 года.,Матчи восьмого и четвёртого круга прошли 19-20 января 2016 года. Жеребьевка четвертого раунда состоялась 27 октября 2015 года.,0
"Каков ответ на вопрос о сроке уведомления, заданный HR в телефонном звонке, даже если у вас есть залог еще на 6 месяцев, но вам нужно присутствовать на собеседовании, и если они хотят срочного требования? Должны ли вы претендовать на такую работу?","Каков ответ на вопрос о сроке уведомления, заданный HR в телефонном звонке, даже если у вас есть залог еще на 6 месяцев, но вы хотите присутствовать на собеседовании, и если они нуждаются в срочном требовании? Должны ли вы подавать заявление на такую работу?",1
"Их заменил Пол Симпсон, но он ушел только через месяц, а Мартин Фойл занял его до конца сезона.","Их заменил Пол Симпсон, но он ушел всего лишь спустя месяц, а Мартин Фойл занимал должность до конца сезона.",0
В Копенгагене отпраздновали столетие статуи Русалочки.,В Копенгагене отпраздновали столетие Русалочки.,1
В чем же разница между Республиканской и Демократической партиями?,В чем же разница между Демократической и Республиканской партиями?,1
"Рамачандран поначалу порекомендовал на роль Пуньякоди К.А. Рэшгавели, однако Сараванан сказал, что его отец хотел, чтобы на эту роль был рекомендован Т.Р. Рамачандран.","Рамачандран поначалу рекомендовал К. А. Хезгавелу на роль Пуньякоди, но Сараванан сказал, что его отец хотел, чтобы Т.Р. Рамачандран исполнял роль Пуньякоди.",0
Защита Савченко будет настаивать на ее возвращении в медсанчасть СИЗО,Надежду Савченко перевели из московской больницы в медсанчасть СИЗО,0
Сбербанк прекратил прием пятитысячных купюр в банкоматах Москвы.,Сбербанк прекратил прием пятитысячных купюр в московских банкоматах.,1
"Позже он основал собственную продюсерскую компанию Admiral Productions и Robert E. Kent в 1984 году, вместе с Оди Мерфи.",Позже он сформировал собственную производственную компанию и Admiral Productions совместно с Робертом Э. Кентом. Оди Мэрфи умерла в 1984 году.,0
В чем разница между китайскими и японскими женщинами?,В чем разница между японскими женщинами и китаянками?,1
"Аэропорт Манчестер, самый загруженный в Великобритании за пределами Лондона, находится к юго-западу от города, который находится под трассой авиасообщения аэропорта.","Аэропорт Манчестера, самый загруженный в Соединенном Королевстве за пределами Лондона, находится к юго-западу от города, который находится под траекторией полета аэропорта.",1
"Если бы мне понравилась чья-то фотография в Инстаграме, но они заблокировали меня, исчезло бы это или что?","Если бы мне понравилась чья-то фотография в Инстаграме, но они заблокировали меня, исчезло бы это или что?",1
Аналитики: События на Кипре не приведут к разорению российских компаний.,Америку откроют для нелегалов.,0
"Сезон 1962 года ""Кливленд Брукс"" был 13-м сезоном команды в Национальной футбольной лиге.","Сезон 1962 года в Национальной футбольной лиге стал для команды 13-м сезоном в составе ""Кливленд Брукс"".",1
Почему New York Giants / Jets не New Jersey Giants / Jets?,Почему New Jersey Giants / Jets не являются Нью-Йоркскими Гиантами / Джетами?,0
"Англиканская церковь Святого Томаса (St. Thomas's Anglican Church, Sydney) является большой англиканской церковью в Северном Шоре Сиднея.","The St Thomas's Anglican Church, North Sydney - это большая Англиканская церковь в Северном Шоре Сиднея.",1
Некачественные бронежилеты для полицейских сшили глухие.,Сотрудников МВД заподозрили в махинациях с поставкой бронежилетов.,0
Назарбаев проголосовал на выборах главы Казахстана,Данные экзит-поллов показали победу Назарбаева на выборах в Казахстане,0
"Издание ""Беркли"" было опубликовано в феврале 1985 года, второй тираж вышел в июне 1985-го, а третий - в ноябре 1985.","Издание ""Беркли"" вышло в феврале 1985 года, второе было напечатано в июне 1985, а третье - в ноябре 1985.",1
"Вилли Фрэнсис жил в Канаде в конце 1970-х, и работал на Ямайке несколько лет, прежде чем вернуться в Англию.","В конце 1970-х годов Вилли Фрэнсис жил в Канаде и несколько лет работал на Ямайке, прежде чем вернуться в Англию.",1
"Что лучше, быть мусульманином в Индии или мусульманином в США? Почему?","Что лучше, быть мусульманином в США или мусульманином в Индии? Почему?",1
"22,0% были немецкого, 20,5% ирландского, 16,4% польского, 8,9% итальянского и 7,8% английского происхождения, согласно переписи 2000 года.","22,0% были немцами по переписи 2000 года, 20,5% ирландцами, 16,4% поляками, 8,9% итальянцами и 7,8% англичанами по происхождению.",1
Суд приступил к слушаниям по делу о ДТП на проспекте Вернадского.,Молдавия отказалась от химической кастрации педофилов.,0
Чарльз Гован родился в Висконсине в 1849 или 1850 году и рано мигрировал в Нью-Йорк.,"Чарльз Гован родился в Нью-Йорке в 1849 или 1850 году, а в начале жизни эмигрировал в Висконсин.",0
"Клайн родился 10 сентября 1970 года в Калгари, Альберта, и вырос в Келоуна, Британская Колумбия.","Клайн родилась 10 сентября 1970 года в Калгари, Альберта, и выросла в Келоуна, Британская Колумбия.",1
СМИ: российских байкеров заставили в Тбилиси снять георгиевские ленты,Российских байкеров заставили в Тбилиси снять георгиевские ленты,1
Сезон 1995-96 гг мюнхенская Бавария была их 95-м сезоном существования и 31-м сезоном Бундеслиги.,Сезон 1995 - 96 гг. Мюнхенская Бавария была их 31-м сезоном существования и 95-м сезоном Бундеслиги.,0
"24,1% были немцами, 15,2% ирландцами, 11,7% англичанами, 8,2% итальянцами и 6,8% американцами, согласно переписи 2000 года.","По данным переписи 2000 года, 24,1% были немецкими, 15,2% ирландцами, 11,7% англичанами, 8,2 процента американцами и 6,8% итальянцами по происхождению.",0
"Смольный: Венеция не разрывала отношений с Петербургом из-за ""гомофобного"" закона.",Петербургские дороги увязли в судах.,0
Правительство выделило 40 млрд руб. на помощь Дальнему Востоку.,В Европе зафиксирован бум IPO.,0
Работавший на Россию эстонец получил 15 лет за госизмену.,Бывшего вице-мэра Бердска приговорили к обязательным работам.,0
Она расположена в 2 км к западу от города Агиос и в 20 км к северо-западу от центра Афин.,Это в 2 км на север от городка Агиос-Онос и в 20 км к западу от центра Афин.,0
"В настоящее время это третий наиболее используемый язык в международной торговле и второй по частоте использования язык в политике, дипломатии и культуре после английского и французского языков.","В настоящее время это второй по распространенности язык в международной торговле и третий по значимости в политике, дипломатии и культуре на английском и французском языках.",0
Томас Генри Фитцпатрик (1825 - 1900) и его коллега Роберт Кларк были первыми прихожанами Общества английской миссией церкви (ОРВ) на территории Пенджаба.,Томас Томас Фицпатрик (1825 - 1900) и его коллега Роберт Кларк были первыми миссионерами из Общества миссии Церкви в Пенджабе.,0
Глава Американской торговой палаты в России уйдет в отставку.,Американская торговая палата в России.,0
Убийца из Белгорода ответит за ранение полицейского.,Полиция раскрыла подробности задержания убийцы из Белгорода.,0
"Альбом был выпущен на цифровом скачивании в 2008 году вскоре после того, как компакт-диск был удален.",Альбом был удален во время цифрового скачивания вскоре после релиза компакт-диска в 2008 году.,0
Депутаты не приняли обращение к В.Путину по поводу намывов в Сестрорецке.,Застрявший на дереве швед арестован по подозрению в грабеже.,0
"Белый Pontiac, последний 4-дверный лимузин G6 2010 модельного года, был построен в январе 2010 года на сборочной линии Orion Township.","Белый Pontiac, последний 4-дверный седан G6 2010 модельного года, был построен на сборочной линии Orion Township в январе 2010 года.",0
"Анри Доблер, родившийся в Марселе в 1863 году, занимался продажей шелка и текстиля в Швейцарии.",Анри Доблер родился в 1863 году в Марселе. Его родители занимались продажей шелка и текстиля в Швейцарии.,0
"Ключевой фигурант дела ""Оборонсервиса"" признал вину.",Фигуранта дела «Оборонсервиса» выпустили из СИЗО.,0
"Находится в северной части Поволжья, центральной Украине, Крыму, Кавказских горах, Закавказье и западном Казахстане.","Находится в центральной части Поволжья, на севере Украины, в Крыму, Кавказских горах, Закавказье и западном Казахстане.",0
"""Эсеры"" внесли в Госдуму законопроект об отмене ""закона Димы Яковлева"".",Дмитрий Медведев поручился за сирот.,0
Как конвертировать старые купюры номиналом 500 и 1000 рупий в новые с выплатой огромного налога?,Как конвертировать новые купюры номиналом 500 и 1000 рупий в старые с выплатой огромного налога?,0
Эпизод написан Мэттом Варбуртоном и является режиссером Адамом Дэвидсоном.,Эпизод написал Мэтт Варбуртон и срежиссировал Адам Дэвидсон.,1
"Джастин Харман стал послом Ирландии в России в 2009 году, а с 2003 по 2009 год был Чрезвычайным и Полномочным Послом Испании в Российской Федерации.","Джастин Харман стал послом Ирландии в Испании в 2009 году, а в период с 2003 по 2009 годы был Чрезвычайным и Полномочным Послом Ирландии в РФ.",0
"Как демократическая страна лучше, чем коммунистическая?","Как лучше коммунистическая страна, чем демократическая страна?",0
"Почему отдача лучше, чем получение?","Почему получение лучше, чем отдача?",0
Консоль Gamestick поступит в продажу в сентябре.,Какой футбол им не нужен - Против чего бразильцы протестуют и за что болеют.,0
Дука: Косово примут в ФИФА и УЕФА в 2016 году,Косово примут в ФИФА и УЕФА в 2016 году,1
В Москве полицейских посадили за вымогательство.,Полицейских посадили за вымогательство у продюсера Десятникова.,0
В Башкирии обыскали офис «Единой России».,"Башкирская ""Единая Россия"" попала под обыски.",1
Запасы золота Банка России достигли рекорда с 2004 года,"Прокуратура: нарушения выявлены при сокращении строителей ""Восточного""",0
Кировский суд признал Алексея Навального виновным.,Навальный и Офицеров признаны виновными.,0
Опять Запад не понимает Россию,СМИ: искусная дипломатия России вернула Иран и Запад к переговорам,0
В мае 1999 года Папа Иоанн Павел II получил от архиепископа Теодосича визит в Румынию.,"В мае 1999 года, архиепископ Теост принял с визитом папу Иоанна Павла II в Румынии.",0
"Сколько пятизначных чисел возможно из цифр 1,2,3,4,5,6,7, когда каждая цифра различается? Как сумма всех чисел?","Сколько же возможно 5-значных чисел из чисел 1,2,3,4,5,6,7, когда каждую цифру различают? Какова сумма всех чисел?",1
